Comp,Day,Venue,GF,GA,Team,Opponent,xGA,Poss,Attendance,Referee,SoT,xG.1,Saves,CS,CPA,CrdY,CrdR,Fls,Off.1,Crs.1,PKwon,PKcon,O_FK,O_CS,O_Cmp.4,O_Ast,O_Dead,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Off,O_CPA,O_CrdY,O_CrdR,O_Fls,FTR,weight
24,4,1,3,4,0,3,0.8,64.0,53285.0,18,4.0,0.8,3.0,0.0,4.0,3.0,0.0,7.0,3.0,13.0,0.0,0.0,0.0,0.0,290.0,3.0,36.0,9.0,4.0,12.0,11.0,5.0,4.0,1.0,0.0,3.0,4.0,2.0,0.0,10.0,0.0,0.1388888888888889
24,0,0,3,1,0,21,1.0,80.0,54452.0,16,8.0,2.1,3.0,0.0,10.0,0.0,0.0,5.0,4.0,32.0,1.0,0.0,0.0,0.0,128.0,1.0,43.0,3.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,10.0,0.0,0.13920671243325705
24,2,0,3,0,0,12,0.2,73.0,53241.0,1,10.0,2.3,1.0,1.0,10.0,1.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,179.0,0.0,43.0,0.0,1.0,2.0,21.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,10.0,1.0,0.13979318268862503
24,0,1,1,1,0,11,0.9,70.0,21658.0,8,7.0,1.8,2.0,0.0,17.0,1.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,206.0,1.0,43.0,1.0,1.0,13.0,24.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,9.0,1.0,0.13995398773006135
24,0,0,5,1,0,14,0.1,70.0,54416.0,12,10.0,2.5,1.0,0.0,12.0,2.0,0.0,10.0,1.0,18.0,0.0,0.0,0.0,0.0,207.0,0.0,40.0,2.0,2.0,8.0,11.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,12.0,0.0,0.14033064206074586
4,3,1,4,0,0,22,1.0,73.0,36000.0,20,7.0,0.7,3.0,1.0,5.0,2.0,0.0,5.0,3.0,11.0,0.0,0.0,1.0,0.0,244.0,0.0,35.0,2.0,3.0,8.0,16.0,3.0,0.0,3.0,0.0,4.0,5.0,2.0,0.0,9.0,0.0,0.14049268668206313
24,5,1,3,0,0,13,1.3,54.0,58420.0,18,5.0,1.5,4.0,1.0,2.0,1.0,0.0,11.0,1.0,3.0,0.0,1.0,1.0,0.0,454.0,0.0,50.0,1.0,1.0,14.0,28.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,11.0,0.0,0.14136328427575523
24,4,0,1,0,0,8,0.1,71.0,54328.0,0,2.0,0.9,0.0,1.0,9.0,2.0,0.0,8.0,2.0,19.0,0.0,0.0,0.0,0.0,322.0,0.0,44.0,1.0,3.0,8.0,19.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0,0.0,0.14152772392400156
4,2,0,1,2,0,22,0.6,77.0,49411.0,21,3.0,1.6,1.0,0.0,11.0,1.0,0.0,5.0,3.0,11.0,0.0,0.0,1.0,0.0,254.0,2.0,26.0,4.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,11.0,0.0,0.14169254658385091
24,1,1,2,0,0,9,0.4,76.0,29138.0,3,6.0,1.6,0.0,1.0,9.0,0.0,0.0,8.0,4.0,10.0,0.0,0.0,0.0,0.0,181.0,0.0,54.0,0.0,2.0,10.0,25.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,6.0,2.0,0.14196810579541036
24,0,1,3,1,0,1,0.9,81.0,39221.0,16,4.0,1.5,1.0,0.0,9.0,0.0,0.0,8.0,3.0,12.0,0.0,0.0,1.0,0.0,151.0,1.0,45.0,0.0,1.0,15.0,14.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,10.0,0.0,0.14302507836990597
4,2,1,0,3,0,23,1.6,66.0,50685.0,13,0.0,0.6,2.0,0.0,2.0,4.0,0.0,10.0,4.0,28.0,0.0,0.0,0.0,1.0,287.0,3.0,43.0,1.0,1.0,12.0,16.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,2.0,0.14324960753532182
24,0,0,2,3,0,18,1.1,64.0,54259.0,8,6.0,2.6,1.0,0.0,5.0,6.0,0.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,264.0,3.0,53.0,3.0,2.0,13.0,17.0,4.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,9.0,1.0,0.14341846758349705
4,3,0,1,2,0,23,0.8,69.0,53461.0,10,3.0,1.2,1.0,0.0,9.0,2.0,0.0,5.0,8.0,35.0,0.0,0.0,0.0,0.0,223.0,0.0,41.0,1.0,1.0,5.0,13.0,2.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,7.0,1.0,0.14358772619984264
24,0,1,3,1,0,20,0.4,52.0,80811.0,3,5.0,2.9,2.0,0.0,9.0,4.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,0.0,395.0,0.0,46.0,2.0,5.0,24.0,20.0,5.0,1.0,3.0,0.0,5.0,5.0,3.0,0.0,11.0,0.0,0.14381402679275018
24,4,0,5,0,0,19,0.3,82.0,54387.0,9,11.0,3.2,1.0,1.0,10.0,0.0,0.0,6.0,4.0,19.0,1.0,0.0,1.0,0.0,157.0,0.0,37.0,1.0,3.0,6.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,1.0,0.1442687747035573
24,4,1,4,1,0,17,0.2,74.0,56904.0,6,7.0,2.4,0.0,0.0,10.0,1.0,0.0,11.0,1.0,13.0,0.0,0.0,1.0,0.0,224.0,0.0,46.0,3.0,1.0,10.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0,0.14466904478795084
24,4,0,0,0,0,15,0.2,78.0,54350.0,2,2.0,0.8,3.0,1.0,4.0,0.0,0.0,9.0,1.0,37.0,0.0,0.0,0.0,1.0,123.0,0.0,50.0,1.0,0.0,8.0,23.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,2.0,0.14507154213036566
24,2,0,3,1,0,0,1.2,73.0,54013.0,16,7.0,1.6,2.0,0.0,9.0,0.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,0.0,253.0,1.0,40.0,1.0,3.0,9.0,16.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,0.14524472741742936
